kind	reference_branch	source_commit	source_blob_sha	destination	purpose	changes	status
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	d69ce914614d6560a92f28ae6c083e80d883d07e	frontend/src/user/pages/BatchFactoryPage.jsx	V78 Alpha route and existing workbench structure	Planned: keep page regions/AntD interactions; replace legacy data seam with bf11 client; do not import V10 page	approved source, not modified
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	8803d10c4abbcba1b5c7ad0a6b1781b0fb153f90	frontend/src/user/pages/BatchFactoryPreviewPage.jsx	V78 preview layout and visual fallback	Planned: keep as rollback/read-only fallback; no hard-coded preview data in V11	approved source, not modified
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	93a854d6830c5735aa64979217015f48383ff266	frontend/src/user/pages/batch-factory-workbench.css	Existing V78 workbench visual system	Planned: reuse unchanged except additive capability/disabled styles	approved source, not modified
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	70fd0176f9139eaac2159064140b2597af4e2d40	frontend/src/user/pages/batch-factory/BatchFactoryProductionControls.jsx	Existing production-control UI position	Planned: retain visual position; Slice 1 renders disabled/read-only state and does not reuse old submit/model API	approved source, not modified
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	9d8b378e19999de693541b08c146d506d0b740da	frontend/src/user/pages/batch-factory/BatchFactoryBulkProduction.jsx	Existing bulk-production UI position	Planned: retain visual position; no legacy batch submit or browser loop in Slice 1	approved source, not modified
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	5ac52a4da9fa21995d720932f0664467d4b89ee5	frontend/src/user/pages/batch-factory/BatchFactoryVideoProductionStatus.jsx	Existing status/media/merge UI position	Planned: retain read-only position; Go status/merge wiring deferred to later slices	approved source, not modified
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	a07fcf22f2cd9880415d7b1e052c6e8cd685be18	frontend/src/user/pages/batch-factory/intake.js	Pure manual/TXT intake parsing	Planned: reuse parsing only; persistence and batch creation use V11 API	approved source, not modified
ui-base	recovery/production-v78.3.0.3-source	483faed8d654e452f6079fc1ef40b74db3a13d1c	a3feba2eaf79d04443797251388bcf6022f9b955	frontend/src/user/pages/batch-factory/workbenchState.js	Pure status/navigation helpers	Planned: reuse presentation helpers only; Go owns authoritative status	approved source, not modified
ui-selective	origin/10-batch-factory-inline-constraints-version-config	208d3b4ed7d0152f55a80acd903e99f1bf682fd7	381f141459bcb8e50090266d838709b5ccd20c2b	frontend/src/user/pages/batch-factory/BatchFactorySettingsDrawers.jsx	Production settings Drawer interaction	Planned: migrate JSX/AntD only; replace all legacy catalog/model/save calls with V11 props/client	planned selective migration
ui-selective	origin/10-batch-factory-inline-constraints-version-config	b6d4250dcbf9a678fd9951879fa7cea4c8d5e6f7	949fa2a577655d66ad0cd9a82cf7a618dad4c42c	frontend/src/user/pages/batch-factory/BatchConstraintSettings.jsx	Inline constraints and immediate switch expansion	Planned: controlled component; Go supplies catalog/prompt/draft state and persists sparse patch	planned selective migration
ui-selective	origin/08-batch-factory-independent-pipeline	c48d113e9f9ceac1e82eaea3a88153d1c663bfef	700d2165125e383860658d7973183c5d6b6beda7	frontend/src/user/pages/batch-factory/BatchFactoryBookSettings.jsx	Book settings Drawer/Card interaction	Planned: migrate UI only; save/restore through V11 Book override endpoints	planned selective migration
ui-optional	origin/10-batch-factory-inline-constraints-version-config	4be9b359d2878562634aace57e566690a0fda34f	60e8f8eca3004cd9bdab1285838b8ec3b8a39e6d	frontend/src/user/pages/batch-factory/workspace-layout.js	Optional pure layout persistence helpers	Planned: migrate only if V78 base requires it; never block Slice 1	optional, not required
ui-forbidden	origin/10-batch-factory-go-api-migration	3e9b5e127e8d0a93b094b38d522745ca98dc90a9	e055fb78d3753b372061db38bc5fd79c03cdd6bb	NONE	BatchFactoryPageV10.jsx whole-file migration	Forbidden: comparison/reference only because it bundles legacy API calls and orchestration	forbidden
